ID;Organisme;Titre;Lieu;Type_contrat;Debut_emploi;Limite_date_cv;Date_depot_offre;Synthese;URL_offre
SODIAAL_UNION_CHARGÉ_DE_MISSION_RSE_F/H_-_LAGRORECRUTE;SODIAAL UNION;CHARGÉ DE MISSION RSE F/H - LAGRORECRUTE; 75 Paris;CDI;;;Publiée le 27-10-2021;Sodiaal, 1ère coopérative laitière française, rassemble une communauté de 20 000 éleveurs et de 9 100 collaborateurs. Sodiaal est présent sur 70 sites industriels en France et réalise 5 Milliards d'euros de CA en France et à l'international. Les 1100 collaborateurs de Sodiaal Union ont pour mission de collecter 4,6 milliards de litres de lait sur 71 départements.Nos équipes accompagnent et conseillent nos 20 000 éleveurs laitiers. Véritable lien entre l'amont et l'aval, les collaborateurs de Sodiaal Union optimisent les flux et recherchent la meilleure valorisation du lait.Rattaché à la Directrice QHSE-RSE Amont, le Chargé de missions RSE F/H participe à la construction du référentiel RSE, et a en charge sa promotion et sa mise en oeuvre opérationnelle sur le périmètre Amont.Vos principales missions - Participer à la construction et au développement de la politique RSE et à sa mise en oeuvre opérationnelle sur le périmètre Amont - Piloter l'activité RSE Amont  contribuer à la définition des objectifs, concevoir et piloter les KPI's adaptés aux enjeux métier, coordonner et contribuer à la conception de la DPEF, à l'Audit et du rapport RSE intégré avec les équipes Amont et en liaison avec la Direction communication/RSE Groupe, assurer la veille métier, représenter l'Amont au niveau interprofessionnel et des instances professionnelles - Communiquer sur la démarche RSE - Gérer les demandes RSE des clients - Intervenir à raison de 20% de son activité dans une autre entité de la coopérative sur la mise à jour de la plateforme SAI (Sustainable Agriculture Initiative).;https://emploi.apecita.com/144198_offre-emploi-charge-de-mission-rse-fh-lagrorecrute.html
DACO_RESPONSABLE_COMMUNICATION_ET_RSE_F/H_-_LAGRORECRUTE;DACO;RESPONSABLE COMMUNICATION ET RSE F/H - LAGRORECRUTE; 91 Essonne;CDI;;;Publiée le 27-10-2021;Notre entreprise, multisites (Antony , 92 et Ablis , 78), est spécialisée dans l'importation et le conditionnement de fruits secs et travaille avec l'ensemble des fournisseurs de la grande distribution.Nous recherchons un(e) Responsable Communication et R.S.E, H/F basé à Antony (92) avec des déplacements réguliers sur les autres sites du Groupe (Ablis (78), Sainte-Marguerite (14), et les Fondettes (37).Rattaché(e) à la Direction générale, et en collaboration avec tous les services,Vous êtes en charge des missions suivantes-Déterminer les enjeux prioritairesà appliquer en entreprise (stratégie à 5 ans) dans le respect d'une politique axée vers plus de développement durable en accord avec les membres du CODIR.-Piloter la démarche RSE en lien avec tous les services de l'entreprise RH, production, sécurité...-Etablir des diagnostics, mener des interviews, définir les dispositifs à mettre en oeuvre.-Définir des indicateurs et des processus de contrôleafin de mesurer les actions réalisées.-Développer des actions de communication et de lobbying en interne, vis-à-vis des collaborateurs (réalisation de guides pratiques, programmes de formation...), et en externe auprès des fournisseurs, des prestataires ou des clients.-Produire des reportings revenant sur les actions menéeset le rapport annuel ceux-ci reprennent diverses informations (émissions de CO2 ainsi que d'autres indices de performance économique, environnementale et sociale).-Effectuerune veille concurrentielle et adapter la politique aux nouvelles contraintes réglementaires et normatives(ISO 26000, GRI, Article 225 de la loi Grenelle 2...).Participer activement à l'amélioration de la qualité de vie au travail  travail en équipe, en transversal...La liste n'est pas exhaustive et a un caractère évolutif.;https://emploi.apecita.com/144444_offre-emploi-responsable-communication-et-rse-fh-lagrorecrute.html
NACTIS_FLAVOURS_TECHNICIEN(NE)_R&D_APPLICATIONS_SUCREES_F/H_-_LAGRORECRUTE;NACTIS FLAVOURS;TECHNICIEN(NE) R&D APPLICATIONS SUCREES F/H - LAGRORECRUTE; 91 Essonne;CDI;;;Publiée le 27-10-2021;Rattaché(e) à l'Aromaticienne-Chef des projets, vous serez en charge de mettre en application les arômes et les solutions développés par les aromaticiens, dans un grand nombre de produits de grandes consommations (biscuits, viennoiseries, pains, snacks, produits laitiers, glaces,...).Vos principales missions  Cette liste est non exhaustive- Appliquer les arômes dans des recettes sucrées et salées- Mettre en application les arômes dans des bases clients- Organiser les dégustations des produits (création, sélection...) et participer au panel de dégustation- Organiser et participer aux tests triangulaires- Accompagner et être un réel support technique auprès de l'équipe commerciale- Créer des bases de données et élaboration du catalogue- Actualiser les gammes de produits en lien avec le service Marketing- Elaborer les recettes en fonction des projets- Proposer de nouvelles applications ou recettes et contretyper des produits finis- Etudier le vieillissement des produits- Evaluer les matières premières - Participer aux salons professionnels- Mettre en oeuvre les meilleures pratiques et consignes de sécurité dans le laboratoire application;https://emploi.apecita.com/143960_offre-emploi-technicienne-rd-applications-sucrees-fh-lagrorecrute.html
ALGAMA_TECHNICIEN_DE_LABORATOIRE_ALIMENTAIRE_F/H_-_LAGRORECRUTE;ALGAMA;TECHNICIEN DE LABORATOIRE ALIMENTAIRE F/H - LAGRORECRUTE; 92 HautsdeSeine;CDI;;;Publiée le 27-10-2021;Algama est une entreprise FoodTech leader dans la transformation de l'industrie agroalimentaire. Notre objectif est de relever les grands défis de demain en inventant aujourd'hui des produits savoureux, sains et durables. Notre technologie exploite le potentiel unique des algues.C'est une équipe ambitieuses, avec une réelle volonté de réinventer l'alimentation. Nous basons notre plateforme d'innovation sur une approche de prototypage rapide qui nous permet de tester et de valider nos concepts avec une grande efficacité.Algama a lancé avec succès plusieurs marques d'ingrédients et de produits en Europe et aux USA.Vous rejoindrez nos équipes de passionnés de cuisine lors de missions à Paris, Avignon et New York City. Dans un contexte extrêmement dynamique, Algama accélère fortement pour offrir une meilleure alimentation à tous et devenir l'un des acteurs majeurs de la transition écologique.RESPONSABILITÉNous sommes à la recherche d'un technicien de laboratoire F/H qui aura pour mission de - Participer à la mise en place et réalisation de protocoles expérimentaux (formulation produit et autres) - Suivre/gérer la base de données R&D (fiches techniques, documentation technique, protocoles/résultats expérimentaux ) - Entretien/nettoyage laboratoire - Suivre/Gérer les stocks de matières premières/fournitures laboratoires - Préparer les produits d'échantillonnage à destination d'évènements/rdv stratégiques;https://emploi.apecita.com/143954_offre-emploi-technicien-de-laboratoire-alimentaire-fh-lagrorecrute.html
NACTIS_FLAVOURS_TECHNICIEN(NE)_R&D_APPLICATIONS_F/H_-_LAGRORECRUTE;NACTIS FLAVOURS;TECHNICIEN(NE) R&D  APPLICATIONS F/H - LAGRORECRUTE; 91 Essonne;CDI;;;Publiée le 27-10-2021;Mission principaleLe Technicien R&D Applications F/H est en charge de mettre en application les arômes et les solutions développés par les aromaticiens, dans un grand nombre de produits de grandes consommations (biscuits, viennoiseries, pains, snacks, produits laitiers, boissons etc) ainsi que de développer de nouvelles recettes de produits finis et ce, dans un souci permanent de respect des conditions de délai, qualité, quantité, hygiène et sécurité définis, tout en optimisant les coûts et moyens confiés.Applications- Réaliser des applications d'arômes dans des recettes sucrées et salées (à établir ou existantes)- Effectuer des essais- Accompagner et être un réel support technique auprès de l'équipe commerciale- Elaborer les recettes en fonction des projets- Proposer de nouvelles applications ou recettes- Contretyper des produits finisMise en place des dégustations- Organiser les dégustations des produits ( création , sélection ...) et participer au panel de dégustation- Organiser et participer aux tests triangulaires- Être force de propositionsVeille et marketing produits- Créer des bases de données et élaboration du catalogue- Actualiser les gammes de produits en lien avec le service Marketing- Etudier le vieillissement des produits- Evaluer et sourcer les matières premières fonctionnelles- Participer aux salons professionnelsAnalyse et gestion de l'information- Utiliser les outils de l'entreprise pour piloter son activité , - Assurer de façon permanente la veille nécessaire au maintien et au développement de son savoir-faire- Observer les réglementations et procédures afférentes à son activité (notamment environnement, liées aux situations dangereuses, et en cas de fuite accidentelle ), et se tenir en permanence informé de ses évolutionsQualité-Sécurité- Environnement- HACCP- Mettre en oeuvre les meilleures pratiques et consignes de sécurité dans le laboratoire application- Pratiquer des auto-contrôles , - Rendre compte au pilote du processus des problèmes liés au système ,- Participer le cas échéant aux réunions HACCP- Trier les papiers, emballages et les chutes de fabrication- Veiller à ce que les moyens de lutte contre l'incendie et les sorties de secours soient en permanence dégagées- Faire respecter l' interdiction de fumerAutres Attributions- Communiquer de manière ascendante et transversale- Rendre compte de son activité et de ses résultats à son supérieur hiérarchique grâce à des reportings réguliers et l'alerter ( ou le Responsable QHSE) de tout dysfonctionnement- Commenter son activité auprès de différents interlocuteurs externes et internes- Participer à différentes réunions- Réaliser toute tâche ou activité liées au bon fonctionnement de l'entreprise et entrant dans le champ de qualification et de compétence. En cas d'absence Peut remplacer Assistant aromaticien / préparateurPeut être remplacé(e) par Chargé(e) de projet R&D;https://emploi.apecita.com/143977_offre-emploi-technicienne-rd-applications-fh-lagrorecrute.html
UNOTEC_INGÉNIEUR_CONSEIL_EN_AGRO-ENVIRONNEMENT/ELEVAGE_H/F;UNOTEC;INGÉNIEUR CONSEIL EN AGRO-ENVIRONNEMENT/ELEVAGE H/F; 12 Aveyron;CDI;;;Publiée le 27-10-2021;Dans une optique de développement des services agronomiques (adaptation au changement climatique, agro-écologie, plan protéines) et environnementaux (zone vulnérable, Cap2ER, durabilité) en soutien des éleveurs ovins lait bio et conventionnels adhérents de l'association, UNOTEC recrute un conseiller spécialisé agro-environnement en élevage ovin laitMISSIONS Au sein d'une équipe, en responsabilité sur votre secteur d'activité mais accompagné par un animateur et des référents techniques vous devrez après formation interneAssurer le Contrôle de Performances et l'appui technico-économique (alimentation, qualité du lait, marge) en élevages ovins lait.Développer du conseil sur les volets agronomiques (équilibre sol-troupeau, gestion des assolements, conduite du pâturage) et environnementaux (fertilisation, zone vulnérable, diagnostics durabilité et Cap2ER) sur le secteur et en appui à l'équipe.Développer l'innovation dans les élevages, créer et animer des groupes d'éleveurs, en valorisant les résultats de recherche appliquée du service.;https://emploi.apecita.com/136242_offre-emploi-ingenieur-conseil-en-agroenvironnementelevage-hf.html
SODIAAL_UNION_RESPONSABLE_PROJETS_INDUSTRIELS_GROUPE_F/H_-_LAGRORECRUTE;SODIAAL UNION;RESPONSABLE PROJETS INDUSTRIELS GROUPE F/H - LAGRORECRUTE; 75 Paris;CDI;;;Publiée le 27-10-2021;Sodiaal, vous connaissez  Si on vous dit, Candia, Entremont, Yoplait  Ce ne sont que quelques-unes des belles marques de notre groupe. Nous sommes la 1ère coopérative laitière française, et on est fiers de nos 17 600 éleveurs, 8 500 collaborateurs, 70 sites industriels et 11 000 fermes pour une production de 4,5 milliards de litres de lait par an, soit l'équivalent d'environ 1 500 bassins olympiques. De quoi en faire tout un fromage !En France ou à l'international, nous recherchons des personnes compétentes et sympathiques, parce que chez nous, l'ambiance est aussi importante que le développement de nos collaborateurs.Sous la responsabilité du Directeur Performance Opérations Groupe, vos missions seront les suivantes - Identifier les projets clés des investissements industriels du Groupe,- Evaluer et optimiser les projets clés du Groupe en termes de valeur et de montants d'investissements par une analyse de la Valeur,- Rendre des avis motivés sur les investissements à mener en priorité pour améliorer le cracking matière du Groupe,- Evaluer a posteriori les projets clés du Groupe- En lien avec le Responsable Maintenance et CAPEX, définir la stratégie Maintenance du Groupe et en assurer le déploiement sur les sites (accompagnement des équipes opérationnelles),- Développer les outils d'optimisation de la Maintenance du Groupe - Piloter les plans d'actions avec les sites- Piloter les projets Ad Hoc sur la recherche de performance,- Identifier et déployer les méthodologies à mettre en oeuvre sur les sujets identifiés,- Définir les plans de déploiement des missions ad hoc,- Accompagner le développement des compétences Maintenance et Technique BU et usines,- Préparer et participer au développement des formations Maintenance et de Gestion de projet- Assurer une veille technologique des meilleurs techniques disponibles;https://emploi.apecita.com/144193_offre-emploi-responsable-projets-industriels-groupe-fh-lagrorecrute.html
CETA_DU_ST_QUENTINOIS_TECHNICIEN_D'EXPÉRIMENTATION_H/F;CETA DU ST QUENTINOIS;TECHNICIEN D'EXPÉRIMENTATION H/F; 02 Aisne;CDI;;;Publiée le 27-10-2021;Le CETA du Saint-Quentinois est une association qui a été créée par des agriculteurs, pour des agriculteurs (près de 100 adhérents). Pour pouvoir apporter un conseil technique totalement indépendant, nous nous basons sur nos propres essais (environ 50 par an)  des essais variétés, semis, travail du sol, désherbages, fongicides... sur toutes cultures (céréales, colza, betterave...). L'expérimentateur a donc un rôle central au CETA.Missions - Aide à la réalisation des protocoles.- Chef de cultures des essais, de la mise en place à la récolte (suivi des stades, notations, application des traitements, semis, récolte...).- En hiver  participation aux analyses des reliquats azotés.;https://emploi.apecita.com/141140_offre-emploi-technicien-dexperimentation-hf.html
NACTIS_FLAVOURS_ASSISTANT(E)_AFFAIRES_REGLEMENTAIRES_F/H_-_LAGRORECRUTE;NACTIS FLAVOURS;ASSISTANT(E) AFFAIRES REGLEMENTAIRES F/H - LAGRORECRUTE; 91 Essonne;CDD;;;Publiée le 27-10-2021;Rattaché(e) au Directeur Règlementation & Qualité Groupe, vous serez en charge de contribuer aux activités nécessaires à la conformité des produits vis-à-vis des réglementations alimentaires et produits chimiques dangereux.Vos principales missions  Cette liste est non exhaustive- Effectuer la veille règlementaire des filières alimentaires (Règlements Arômes, Additifs, Etiquetage des denrées, contaminants,...) et produits chimiques (CLP, REACH, transports dangereux,...). - Participer aux réunions des syndicats professionnels et en faire des synthèses. - Vérifier la conformité des recettes de produits avec les réglementations en vigueur. - Support à l'élaboration et au maintien des bases de données nécessaires à la conformité (ex. législations pays, produits dangereux,...). - Validation de documents techniques  fiches techniques, FDS, Fiches allergènes,... - Répondre aux questions technico-réglementaires des collaborateurs et assurer un rôle d'interface en interne avec les laboratoires R&D, les services ADV, Qualité (Matières premières et Clients), Achat et Marketing - Participer à la validation de documents marketing d'un point de vue réglementaire. - Communication interne sur les actualités réglementaires (newsletters internes). - Elaborer des bilans techniques selon des demandes ponctuelles et sujets d'actualité réglementaire. - Rédiger des synthèses, des documents et procédures réglementaires à partir de données et d'informations techniques;https://emploi.apecita.com/143963_offre-emploi-assistante-affaires-reglementaires-fh-lagrorecrute.html
APECITA_CHARGE_DE_MISSION_AGRI-ENVIRONNEMENT_ET_ELEVAGE_H/F;APECITA;CHARGE DE MISSION AGRI-ENVIRONNEMENT ET ELEVAGE H/F; 10 Aube;CDD;;;Publiée le 27-10-2021;Structure pour l'environnement.Missions Animation du dispositif des Paiements pour Services Environnementaux.Animation du projet  Marque Parc  viande bovine/ovine, en lien avec la Chambre d'agriculture de l'Aube.;https://emploi.apecita.com/144452_offre-emploi-charge-de-mission-agrienvironnement-et-elevage-hf.html
